filename,status,rows,csv_path,error
CRXSnowmanEventJellyProb.djb,ok,31,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSnowmanEventJellyProb.csv,
CRXSnowmanList.djb,ok,20,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSnowmanList.csv,
CRXSnowmanMaterialList.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSnowmanMaterialList.csv,
CRXSoundBankList.djb,ok,17,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSoundBankList.csv,
CRXSoundEventList.djb,ok,1048,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSoundEventList.csv,
CRXSoundFileList.djb,ok,275,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSoundFileList.csv,
CRXSpecialDailyBonusEvent.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSpecialDailyBonusEvent.csv,
CRXSpecialGameRule.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXSpecialGameRule.csv,
CRXStageThemeData_BigChange.djb,ok,36,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXStageThemeData_BigChange.csv,
CRXTipData.djb,ok,9,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXTipData.csv,
CRXTutorialFoolStage_BigChange.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXTutorialFoolStage_BigChange.csv,
CRXTutorialStage_BigChange.djb,ok,4,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXTutorialStage_BigChange.csv,
CRXUnlockEventNoticeData.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CRXUnlockEventNoticeData.csv,
CookieBalance.djb,ok,206,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CookieBalance.csv,
CookieLeagueRating.djb,ok,23,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CookieLeagueRating.csv,
CookiePassInfo.djb,ok,10,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CookiePassInfo.csv,
CookiePassReward.djb,ok,620,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CookiePassReward.csv,
CouponEventURL.djb,ok,1,/Users/peach/Documents/cookierun file/extracted/djb_decoded_batch/CouponEventURL.csv,
